id;placed_date;status;code
1;2019-05-10T16:29:27;COMPLETED;JSON Texas
2;2019-05-10T19:41:35;COMPLETED;Fantastic
3;2019-05-10T03:45:30;COMPLETED;superstructure
4;2019-05-10T23:01:11;COMPLETED;time-frame Quality
5;2019-05-10T02:36:18;COMPLETED;Gorgeous Money Market Account
6;2019-05-10T12:07:50;COMPLETED;Unbranded
7;2019-05-10T13:33:12;COMPLETED;bandwidth Liaison
8;2019-05-10T08:54:24;COMPLETED;Algerian Dinar Fantastic Fresh Salad
9;2019-05-10T08:28:11;COMPLETED;Visionary
10;2019-05-10T11:28:05;COMPLETED;Interactions
