id;tracking_code;jhi_date;details
1;Practical Steel Chips;2019-05-10T10:31:13;frictionless orchid
2;Future-proofed Awesome;2019-05-10T22:19:35;Rubber Shirt
3;Pakistan Rupee;2019-05-10T21:05:52;Rupiah
4;Human Mission;2019-05-10T09:23:53;Soap teal Licensed Wooden Pants
5;e-business;2019-05-11T00:39:22;Brazil
6;Island cyan;2019-05-10T16:40:37;Bedfordshire
7;alliance Licensed Plaza;2019-05-10T08:54:46;Cambridgeshire
8;Regional;2019-05-10T23:57:13;systemic
9;Handmade Savings Account Manager;2019-05-10T12:32:29;Central Polarised
10;back-end Roads bypass;2019-05-11T00:32:20;Customer-focused
